product_id,product_name,category,category_1,category_2,category_3,actual_price,discount_price,discount_percentage,rating,rating_count
B01MQ2A86A,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Black",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,1645.00,1295,21,4.6,12375
B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen,CraftMaterials,PaintingMaterials,Paints,310.00,310,0,4.5,5882
B08BQ947H3,"LIRAMARK Webcam Cover Slide, Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet (Pack of 3)",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers,149.00,149,0,4.3,10833
B0BHYJ8CVF,"Portronics Key2 Combo Multimedia USB Wireless Keyboard and Mouse Set with 2.4 GHz Wireless Technology, Soft & Silent Button, Compact Size (Grey)",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MouseSets,1499.00,1149,23,4.1,10443
B0BCVJ3PVP,"SupCares Laptop Stand 7 Height Adjustable, Aluminium, Ventilated, Foldable, Portable Laptop Holder for Desk & Table Mount Upto 15.6 inch Laptop with Carry Pouch (Silver)",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Lapdesks,1299.00,499,62,4.5,434
B0B2931FCV,"ZEBRONICS Zeb-Sound Bomb N1 True Wireless in Ear Earbuds with Mic ENC, Gaming Mode (up to 50ms), up to 18H Playback, BT V5.2, Fidget Case, Voice Assistant, Splash Proof, Type C (Midnight Black)",Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,4199.00,999,76,3.5,1913
B07VV37FT4,Classmate Octane Neon- 25 Blue Gel Pens | Smooth Writing Pens| Water-proof Ink For Smudge-free Writing| Preferred By Students For Exam & Class Notes| Study At Home Essential,OfficeProducts,OfficePaperProducts,Paper,Stationery,250.00,250,0,4.2,2628
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,2199.00,1199,45,4.4,24780
B07JB2Y4SR,Classmate Octane Colour Burst-Multicolour Gel Pens (Pack of 10) | Gold & Silver Glitter Sparkle Pens|10 colour ink shades for art lovers and kids|Fun at home essentials,Home&Kitchen,CraftMaterials,DrawingMaterials,DrawingMedia,100.00,90,10,4.4,10718
B08KRMK9LZ,"Tukzer Stylus Pen, iPad Pencil with Palm Rejection Tilt Sensor| 2nd Gen for 2018-2022 iPad 6/7/8/9th Gen; iPad 10.2"", Pro 12.9/11"", Mini 6/5th, Air 5/4/3rd, Precise for Writing/Drawing (3 Spare Tips)",Electronics,Mobiles&Accessories,MobileAccessories,StylusPens,5999.00,2025,66,4.2,6233
